"name","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews","pop2020"
"Mauritius",420000,220000,5000,630000,5000,5000,5000,5000,"1271.7680"
"Mayotte",5000,200000,5000,5000,5000,5000,5000,5000,"272.8150"
"Mexico",107910000,5000,5330000,5000,5000,70000,20000,70000,"128932.7530"
"Micronesia",110000,5000,5000,5000,5000,5000,5000,5000,"115.0230"
"Moldova",3480000,20000,50000,5000,5000,5000,5000,20000,"4033.9630"
"Monaco",30000,5000,5000,5000,5000,5000,5000,5000,"39.2420"
"Mongolia",60000,90000,990000,5000,1520000,100000,5000,5000,"3278.2900"
"Montenegro",490000,120000,20000,5000,5000,5000,5000,5000,"628.0660"
"Montserrat",5000,5000,5000,5000,5000,5000,5000,5000,"4.9920"
"Morocco",20000,31930000,5000,5000,5000,5000,5000,5000,"36910.5600"
"Mozambique",13260000,4200000,4200000,5000,5000,1720000,5000,5000,"31255.4350"
"Myanmar",3750000,1900000,240000,820000,38410000,2760000,80000,5000,"54409.8000"
"Namibia",2230000,5000,40000,5000,5000,5000,5000,5000,"2540.9050"
"Nauru",5000,5000,5000,5000,5000,5000,5000,5000,"10.8240"
"Nepal",140000,1370000,80000,24170000,3080000,1100000,20000,5000,"29136.8080"
"Netherlands",8410000,1000000,6990000,80000,40000,30000,30000,30000,"17134.8720"
"New Caledonia",210000,5000,30000,5000,5000,5000,5000,5000,"285.4980"
"New Zealand",2490000,50000,1600000,90000,70000,20000,30000,5000,"4822.2330"
"Nicaragua",4970000,5000,730000,5000,5000,80000,5000,5000,"6624.5540"
"Niger",120000,15270000,110000,5000,5000,5000,5000,5000,"24206.6440"
"Nigeria",78050000,77300000,680000,5000,10000,2290000,90000,5000,"206139.5890"
"Niue",5000,5000,5000,5000,5000,5000,5000,5000,"1.6260"
"North Korea",480000,5000,17350000,5000,370000,3000000,3140000,5000,"25778.8160"
"Northern Mariana Islands",40000,5000,5000,5000,5000,5000,5000,5000,"57.5590"
"Norway",4140000,180000,490000,20000,30000,5000,10000,5000,"5421.2410"
"Oman",180000,2390000,5000,150000,20000,5000,30000,5000,"5106.6260"
"Pakistan",2750000,167410000,20000,3330000,20000,30000,20000,5000,"220892.3400"
"Palau",20000,5000,5000,5000,5000,5000,5000,5000,"18.0940"
"Panama",3270000,30000,170000,5000,5000,20000,20000,10000,"4314.7670"
"Papua New Guinea",6800000,5000,5000,5000,5000,30000,20000,5000,"8947.0240"
"Paraguay",6250000,5000,70000,5000,5000,110000,10000,5000,"7132.5380"
"Peru",27780000,5000,860000,5000,50000,290000,90000,5000,"32971.8540"
"Philippines",86370000,5150000,90000,5000,80000,1430000,130000,5000,"109581.0780"
"Poland",36100000,5000,2150000,5000,5000,5000,5000,10000,"37846.6110"
"Portugal",9810000,30000,800000,5000,20000,10000,5000,5000,"10196.7090"
"Puerto Rico",3630000,5000,70000,5000,10000,30000,5000,5000,"2860.8530"
"Qatar",240000,1190000,20000,240000,50000,5000,10000,5000,"2881.0530"
"Republic of the Congo",3470000,50000,360000,5000,5000,110000,40000,5000,"5518.0870"
